,Density,PoreAvgVolume,henry_coeff
21460N2.cif,0.663046,3413.99,5.82792e-05
20543N2.cif,0.801631,2189.82,6.38523e-06
18033N2.cif,0.580582,7419.58,2.11551e-05
19090N2.cif,0.485873,5106.21,8.37642e-06
20420N2.cif,0.971718,957.018,5.00635e-05
13074N2.cif,0.671669,2822.17,0.00526494
14090N2.cif,0.490232,4322.81,0.000244663
21392N2.cif,0.312828,12274.6,0.000248859
22190N2.cif,0.453105,5679.27,7.50806e-06
20141N2.cif,0.81013,1938.71,7.97056e-06
17250N2.cif,0.507876,3268.14,8.04896e-06
16060N2.cif,0.519721,7150.47,1.2262e-05
16058N2.cif,0.621325,3713.16,3.94815e-05
19241N3.cif,0.961818,779.642,3.2425e-06
20441N3.cif,0.44454,6858.88,0.242175
18130N3.cif,0.741461,2388.81,8.05794e-06
20440N3.cif,0.494933,5330.78,0.00149695
17161N3.cif,0.333212,17296.5,6.86241e-06
2245uN2.cif,0.578308,9526.33,6.25929e-06
17154N2.cif,0.512414,6062.3,6.11512e-06
20052N2.cif,0.46593,11824.3,1.29724e-05
19380N2.cif,0.597476,5091.06,2.78917e-06
16260N2.cif,1.03072,1048.54,1.24409e-06
21423N2.cif,0.854486,2625.75,2.89369e-06
16113N3.cif,0.215562,58144.9,4.74872e-06
19212N2.cif,0.417379,6778.52,2.04829e-05
17030N2.cif,0.435971,5836.31,0.00065472
20442N3.cif,0.610001,4056.19,0.0581026
19220N2.cif,0.343161,8812.79,3.95577e-06
21540N3.cif,0.0514031,105906.0,1.21124e-05
19456N2.cif,0.355463,13463.8,4.79342e-06
21381N2.cif,0.630002,2128.65,4.11736e-06
21041N3.cif,0.895197,3697.43,2.01167e-05
13201N2.cif,0.452544,8621.99,6.56393e-06
19060N2.cif,0.604869,2517.27,5.9653e-06
20331N2.cif,0.53257,2388.38,3.40269e-06
20151N2.cif,0.612017,5021.21,2.15222e-05
14071N2.cif,0.51383,7659.85,5.16625e-06
09010N2.cif,0.731022,1560.49,2.46377e-06
21170N2.cif,0.4159,6689.86,2.62757e-05
19573N2.cif,0.608142,5706.87,3.84065e-05
21191N2.cif,0.327857,9738.87,0.0071638
21130N2.cif,0.585226,3061.89,1.90835e-05
21822N2.cif,0.893271,1878.46,0.0303282
20160N2.cif,0.524385,6333.85,8.72879e-06
16370N2.cif,1.09429,198.191,4.41654e-06
