,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
477,20300N2.cif,9.0314816644733,18.74463678512,30.29574453557,36.506863889775,40.092653606336,42.85102900579,0.18782848469394,0.90893539028674,4.2087623827669,7.7356406605925,10.706701099353,13.167766827852,0.079344369222218,0.39632863516754,1.8679349710567,3.6419767646096,5.2896433406474,6.9093076738499,0.501763,3186.36,,1.93192e-06,8.04699e-07,0.000168807
478,19180N2.cif,8.4107934901256,18.661845036111,32.984373563378,41.9013224615,48.095795322715,52.600573904784,0.2172421831561,1.0903278496253,4.9721984191393,9.2037581650581,12.875994918107,16.066322956411,0.10192254452126,0.50509774267156,2.3895389145175,4.6569345431436,6.7854120863727,8.8153447904726,0.398703,6621.63,,2.204e-06,1.01206e-06,0.000155323
479,20402N2.cif,10.716265092006,18.890183322493,28.275465549775,32.169010156905,34.153692440169,35.479692365123,0.18756804747082,0.93022426675264,3.8240948833094,6.7848954416302,9.1933257952759,11.128461801881,0.06845879830192,0.3204086933073,1.5233356669292,2.9001559156564,4.2028832466043,5.4125485138697,0.58915,3517.51,,1.88848e-06,6.656e-07,0.00050813
480,15181N2.cif,6.0253962124992,13.700689620932,23.958524265461,30.283700145694,34.570477290605,37.690795301853,0.16373717552292,0.79947882846439,3.5812940578715,6.6711980467081,9.3486689386689,11.657065084964,0.07389597994473,0.3656000345932,1.7386602696967,3.3587889429037,4.9453516324688,6.3750578984769,0.534441,7765.58,,1.62592e-06,7.40454e-07,9.36437e-05
481,20672N2.cif,8.7582810638965,16.658492501222,25.222436249219,29.119728946513,30.958287322879,32.665786657732,0.16752517527372,0.83421858464388,3.4887827602508,6.2538405381178,8.4660246745781,10.331881947515,0.061939695565869,0.30791370590921,1.4624988363998,2.8200206380504,4.0408451417003,5.1601810282741,0.623778,3980.87,,1.69379e-06,6.29987e-07,0.000251651
482,19144N2.cif,5.6316630520369,9.0119912948905,13.614244172172,15.358625350867,16.274822505706,16.896247202256,0.10202420243081,0.48373265927194,2.0773570471377,3.590922940931,4.7992734801148,5.7304113245719,0.034081360725809,0.16847520180433,0.78653490324442,1.5146346763591,2.161671188458,2.7597357493955,1.00342,1653.6,,1.02929e-06,3.40882e-07,0.000364443
483,15162N2.cif,9.8714756864278,15.035748758697,19.368473030556,20.850784161685,21.650340369747,22.252485781841,0.14745777408309,0.71661929141018,2.9646592052052,5.034196954883,6.5541344778204,7.7429462070957,0.047644087680276,0.23232188115174,1.0855808202488,2.0013041260447,2.8849855822299,3.639933181447,0.853919,857.887,,1.50904e-06,4.76165e-07,0.000284271
484,19420N3.cif,11.173567726937,30.266879179025,66.532729841445,86.949172797825,99.305417907231,107.86890472066,0.41782367704434,2.0774089050019,9.4447792720777,17.803737846967,25.138067201945,31.576591499703,0.19995577597716,0.9879501180339,4.6903923382226,9.1940890419055,13.444849044678,17.378240384923,0.229766,30338.5,,4.18171e-06,1.99667e-06,0.000191043
485,22182N2.cif,10.662359819591,17.101828853209,25.516579100392,28.847838723668,30.493437245596,31.650811826041,0.17901656218253,0.86753664594134,3.6866956336656,6.443624416219,8.6584600840465,10.331269659582,0.059130423787939,0.3032423945293,1.4101826945585,2.6621927620538,3.8275094850809,4.9110254914028,0.649492,1664.43,,1.80374e-06,6.0445e-07,0.000620324
486,23001N2.cif,13.61387418051,15.229576941159,16.333199538317,16.765827453437,17.090421155908,17.24487600611,0.29979995089859,1.3285402069867,4.2368552848128,6.0130259316108,7.0760505143494,7.8089393797808,0.061222727733527,0.29012898474232,1.2484064811859,2.2019236574797,2.9406952764349,3.5696889023273,0.899469,2973.27,,3.25377e-06,5.99187e-07,0.0066644
