,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
124,20560N3.cif,1.580027978375,3.9985427251,5.20310918435,6.3408536662625,6.994963019275,7.7630483979125,8.4614105912875,8.7632115715375,9.1785741191375,9.672363475775,1.04285,901.829,2.08841e-05
125,13141N2.cif,0.21063012571947,0.99464810400698,1.8994100146257,3.4560476368902,4.6706396062295,6.5088887599072,8.3434277175173,9.1384328485924,10.369519890654,11.542257405902,0.818447,1325.93,2.11322e-06
126,21823N2.cif,0.25627600407968,1.0988799371917,1.8285805709492,2.9675202837267,3.8109733642015,5.0471987248374,6.204803029648,6.7868019721249,7.6373479305713,8.4625693176686,0.864519,2156.19,2.71023e-06
127,08010N2.cif,0.07950049583044,0.33287997375936,0.52997259029477,0.78306854291759,0.90002981981649,1.101566695525,1.2868363067961,1.3709299125853,1.4869768203721,1.6270383215855,1.14317,232.241,8.49007e-07
128,20360N2.cif,0.21065461734851,1.0420361294066,2.0728572058775,3.9171419949897,5.6017875149706,8.644221094178,12.331257364384,14.310100884324,17.661057941264,21.555244124776,0.43331,5953.66,2.15679e-06
129,15183N2.cif,0.20143069866131,0.96282183007854,1.8082820025938,3.3738006906848,4.8263446256341,7.1333299228783,9.8968404228063,11.360008642646,13.896899636343,16.639799661679,0.578754,5949.42,1.98597e-06
130,12060N2.cif,0.17871912769836,0.84632014734484,1.6478275788696,3.0457744168315,4.1859344453647,6.0399145100483,7.8887031562872,8.7953543026198,10.209498086268,11.615029152794,0.818509,7646.28,1.83821e-06
131,22411N2.cif,0.302507731968,1.464766458064,2.762999080192,5.111922865712,7.337863702416,11.104614116128,15.460386562192,17.948554276224,21.892451267648,26.274383973552,0.386197,5142.34,3.06402e-06
132,20650N2.cif,0.35673381047948,1.5999986021334,2.8586137325999,4.6528009391315,5.8334192727349,7.4538375607973,8.9200528315422,9.5929834627518,10.472630804158,11.398590040683,0.812619,1953.34,3.73474e-06
133,17060N2.cif,0.32020631062695,1.3926359955461,2.6070067539735,4.4697736199603,5.8226739446129,7.7555864337075,9.5150992780376,10.215646705946,11.368232830426,12.34178473049,0.751486,3609.68,3.25033e-06
134,21860N2.cif,0.27282334482502,1.2761277448708,2.4490213611406,4.5656608241785,6.4184797363471,9.4923744651901,13.160903212002,15.147718412839,18.379920110893,22.03591186589,0.457014,12115.8,2.7458e-06
135,21201N2.cif,0.41299591219085,1.7652995024384,3.0457846917962,5.1178765739108,6.7632113610559,9.1920601246144,11.848966624846,13.23255373298,15.201062411428,17.458769832998,0.579233,3171.4,4.40668e-06
136,19260N2.cif,0.23310728784365,1.0974233760126,2.0144891387598,3.537239665746,4.7142466190232,6.1641220444164,7.5261139901632,8.1856746694217,9.0318240096041,9.9174652156925,0.840886,844.733,2.40711e-06
137,19341N2.cif,0.33702096096218,1.5851545609807,3.0014722289274,5.1851450073844,6.8033216383093,8.9083289914957,10.829919690948,11.65926598548,12.843123513606,13.929737301986,0.718609,1045.61,3.48952e-06
